Pair,Day,Underlying,Type,Strike,Direction,Premium,Close Price,PnL1,PnL2,Total PnL
0/1,3/3,TQQQ/TQQQ,put/put,128/131,short/long,1.29/2.18,2.83/4.53,-154.23,234.18,79.95000000000002
2/3,3/3,TQQQ/TQQQ,call/call,139/136,short/long,1.68/2.64,0.47/0.87,120.76,-177.74,-56.980000000000004
4/5,3/3,TQQQ/TQQQ,put/put,129/132,short/long,1.46/2.38,3.33/5.19,-187.39,280.9,93.50999999999999
6/7,3/3,TQQQ/TQQQ,call/call,140/137,short/long,1.92/2.91,0.38/0.71,153.83,-220.27,-66.44
8/9,6/6,TQQQ/TQQQ,put/put,120/123,short/long,1.32/2.24,0.49/0.95,82.61,-128.55,-45.94000000000001
10/11,6/6,TQQQ/TQQQ,call/call,130/128,short/long,1.9/2.56,3.48/4.6,-158.21,203.75,45.53999999999999
12/13,6/6,TQQQ/TQQQ,put/put,120/122,short/long,0.61/1.07,0.0/0.02,60.64,-105.25,-44.61
14/15,6/6,TQQQ/TQQQ,call/call,130/127,short/long,0.85/1.72,1.53/3.52,-68.75,180.0,111.25
16/17,6/6,TQQQ/TQQQ,put/put,123/125,short/long,0.85/1.36,0.04/0.15,80.31,-120.45,-40.14
18/19,6/6,TQQQ/TQQQ,call/call,133/131,short/long,1.19/1.78,0.49/1.09,70.0,-69.23,0.769999999999996
